id,month,voltage_ratio,station_name,capacity,executing_agency,sector
320,Oct-2021,220/132,Kukshi 220/132kV S/S,160,MPPTCL,State Sector
321,Oct-2021,220/132,GNDTP Bhatinda,300,PSTCL,State Sector
322,Oct-2021,220/132,Amethi (New) T/F-I,160,UPPTCL,State Sector
323,Oct-2021,220/132/33,Chatra S/S,300,JUSNL,State Sector
324,Oct-2021,220/33,Lassipora (GIS),160,JKPDD,State Sector
325,Oct-2021,220/33,Indore (East),50,MPPTCL,State Sector
326,Oct-2021,220/33,Botanical Garden (Sec-38A)Noida (Capacity Aug.) T/F-III),60,UPPTCL,State Sector
327,Oct-2021,220/33,Pratap Vihar (Capacity Aug.) T/F-II,60,UPPTCL,State Sector
328,Oct-2021,220/66,Tubinakere (T/F-I Replacement (150-100)),50,KPTCL,State Sector
329,Oct-2021,220/66,Alawalpur (Addl. T/F),100,PSTCL,State Sector
330,Nov-2021,765/400,1x1500MVA 765/400kV ICT at Fatehgarh-II,1500,PGCIL,Central Sector
331,Nov-2021,765/400,765/400kV ICT at Bhiwani (PG) SS,1000,PGCIL,Central Sector
332,Nov-2021,400/220,1x500MVA 400/220 kV ICT at Fatehgarh-II PS,500,PGCIL,Central Sector
333,Nov-2021,400/220,400/220kV ICT at Itarsi S/S,500,PGCIL,Central Sector
334,Nov-2021,400/220,400/220kV ICT at Sonepat,500,PGCIL,Central Sector
335,Nov-2021,400/220/11,Kamalapuram SS (2x315 ICT I and II ),630,TSTRANSCO,State Sector
336,Nov-2021,220/33,Dahi Chowki Unnao (New) T/F-III,60,UPPTCL,State Sector
337,Nov-2021,220/132,Shivpuri s/s,160,MPPTCL,State Sector
338,Nov-2021,220/66,Tubinakere (T/F-II Replacement (150-100)),50,KPTCL,State Sector
339,Nov-2021,220/132,Magarpatta (ICT Replacement) (200-100),100,MSETCL,State Sector
340,Nov-2021,220/132,Huzurabad (Aug) ((2x100 160) -(2x100)),160,TSTRANSCO,State Sector
341,Nov-2021,220/132,Gola (New) T/F-I,160,UPPTCL,State Sector
342,Nov-2021,220/132,Pratapgarh T/F (Capacity Augmentation),160,UPPTCL,State Sector
343,Nov-2021,220/132,Tundla Firozabad (New) T/F-I,160,UPPTCL,State Sector
344,Dec-2021,400/220,Establishment of 765/400 kV Fatehgarh-II PS(Jaisalmer) ( 500MVA 400/220kV ICT) (PGCIL-RTM),500,PGCIL,Central Sector
345,Dec-2021,400/220,Extn. at 400/220 kV Roorkee (ICT-III),500,PGCIL,Central Sector
346,Dec-2021,400/220,Extn. of 765/400/220 kV Bhadla (PG) (1x500MVA 400/220kV ICT)S/S,500,PGCIL,Central Sector
347,Dec-2021,220/132,Badaikala Muzaffarnagar (New) T/F-II,160,UPPTCL,State Sector
348,Dec-2021,220/33,Satrikh Road (Lucknow) (New) T/F-I,60,UPPTCL,State Sector
349,Dec-2021,220/132,Sagar,160,MPPTCL,State Sector
350,Dec-2021,220/66,Jadla (Addl. T/F),100,PSTCL,State Sector
351,Dec-2021,220/66,Mohali (Aug. of 100 to 160 MVA),60,PSTCL,State Sector
352,Dec-2021,220/66,Sira (T/F-I),100,KPTCL,State Sector
353,Dec-2021,220/132,Rayadurg (GIS) S/S,320,TSTRANSCO,State Sector
354,Dec-2021,220/132,400 kV S/s Gr Noida G B Nagar T/F (Capacity Aug),160,UPPTCL,State Sector
355,Jan-2022,400/220,Extension 400/220 kV Bikaner (PG) Substation (ICT-II),500,PGCIL,Central Sector
356,Jan-2022,220/132,Dhanbad (2 Auto-Xmer),160,DVC,Central Sector
357,Jan-2022,220/132,Dimapur (PG) GIS S/S,220,PGCIL,Central Sector
358,Jan-2022,220/132,Burdwan GIS along with associated line bays at Parulia S/s,320,DVC,Central Sector
359,Jan-2022,400/220,Meramundali-B (ICT-I),500,OPTCL,State Sector
360,Jan-2022,400/220,Akal Jaisalmer (Aug.) (500-315),185,RVPNL,State Sector
361,Jan-2022,400/220,Kankani s/s (Addl T/F),315,RVPNL,State Sector
362,Jan-2022,400/220,Basti (GIS) (T/F-I),500,UPPTCL,State Sector
363,Jan-2022,400/220/132,Talandage S/s (ICT Replacement) (501-315),186,MSETCL,State Sector
364,Jan-2022,400/220/132,Rayadurg GIS S/S,1000,TSTRANSCO,State Sector
365,Jan-2022,400/220,Bhogat S/S,500,GETCO,State Sector
366,Jan-2022,400/220,Patratu GSS (PGCIL),630,JUSNL,State Sector
367,Jan-2022,400/220,Karjat S/S,1000,MSETCL,State Sector
368,Jan-2022,220/132,Azizpur S/s Shahjahanpur (T/F-I),160,UPPTCL,State Sector
369,Jan-2022,220/132,Jehta Hardoi Road (GIS) (New) T/F-II,200,UPPTCL,State Sector
370,Jan-2022,220/110,Gangavathi (Sulekal) S/S,200,KPTCL,State Sector
371,Jan-2022,220/132,Pilibhit T/F-II (Capacity Aug.),60,UPPTCL,State Sector
372,Jan-2022,220/132,Sambhal T/F-I (Capacity Aug.),60,UPPTCL,State Sector
373,Jan-2022,220/132,Shamli s/s (220 /132 kV T/F-I),200,UPPTCL,State Sector
374,Jan-2022,220/66,Bhogat s/s,320,GETCO,State Sector
375,Jan-2022,220/66,Kim (Aug) ((1x160 4x100)-(4x100)),160,GETCO,State Sector
376,Jan-2022,220/66,Timbdi (Aug) ((3x100)-(2x100 1x50)),50,GETCO,State Sector
377,Jan-2022,220/66,Hoody (T/F-I Replacement of 100 MVA by 150 MVA),50,KPTCL,State Sector
378,Jan-2022,220/66,Dasuya (Addl. T/F),100,PSTCL,State Sector
379,Jan-2022,220/132,Nighasan Lakhimpur T/F-I (Capacity Aug.),160,UPPTCL,State Sector
380,Jan-2022,220/110,Kudachi (Addl T/F),100,KPTCL,State Sector
381,Jan-2022,220/110,Netlamadnur (Addl T/F),100,KPTCL,State Sector
382,Jan-2022,220/132,Karamnasha (New) s/s,400,BSPTCL,State Sector
383,Jan-2022,220/132,Ratu,300,JUSNL,State Sector
384,Jan-2022,220/132,Mandsaur,160,MPPTCL,State Sector
385,Jan-2022,220/132,Bhandara S/s (ICT Replacement) (200-100),100,MSETCL,State Sector
386,Jan-2022,220/132,Lonikand -II S/S (ICT-I),100,MSETCL,State Sector
387,Jan-2022,220/132,Lonikand -II S/S (ICT-II),100,MSETCL,State Sector
388,Jan-2022,220/132,Bansur s/s (Aug.),100,RVPNL,State Sector
389,Jan-2022,220/132,Dechu s/s (Aug.),100,RVPNL,State Sector
390,Jan-2022,220/132,Sirohi s/s (Aug),100,RVPNL,State Sector
391,Jan-2022,220/132,Amaria S/S (T/F-I) Pilibhit,100,UPPTCL,State Sector
