id,month,voltage_level,transmission_line,circuit_type,executing_agency,line_length,sector
110,Oct-2020,400,Sagardighi TPS - Gokarna line,D/C,WBSETCL,89,State Sector
111,Oct-2020,400,Thennampatty - SEPC IPP,D/C,TANTRANSCO,104,State Sector
112,Oct-2020,230,LILO in the existing 230 kV Pasumalai - Alagarkoil at the proposed Samayanallur 230 kV SS,D/C,TANTRANSCO,9,State Sector
113,Oct-2020,220,Kanwan - Dhar line (GEC-I),DCDS,MPPTCL,63,State Sector
114,Oct-2020,220,LILO of Jhalawar - Chhabra line at 220 KV GSS Aklera,D/C,RVPNL,98,State Sector
115,Nov-2020,220,LILO of Parulia - Dtps at Durgapur steel TPS,D/C,DVC,14,Central Sector
116,Nov-2020,220,Bemetara - Mungeli line 2nd circuit,S/C,CSPTCL,40,State Sector
117,Nov-2020,220,Gurur - Kurud (Bangoli),D/C,CSPTCL,74,State Sector
118,Nov-2020,220,Jambuva - Waghodia ( PGCIL) line with AL-59 Conductor,D/C,GETCO,68,State Sector
119,Nov-2020,220,Konnakuzhy - Chalakudy line,D/C,KSEB,22,State Sector
120,Nov-2020,220,LILO of both Purnea (PG) - Begusarai at Khagaria (New),D/C,BSPTCL,14,State Sector
121,Nov-2020,220,LILO of Jadla - Jamsher at 220 KV S/S Banga,D/C,PSTCL,11,State Sector
122,Nov-2020,220,LILO of Vallabhipur - Vartej line at Maglana S/s,D/C,GETCO,9,State Sector
123,Nov-2020,220,Palanpur - Amarigadh (DFCC) line,D/C,GETCO,80,State Sector
124,Nov-2020,220,Snail -Hatkoti,D/C,HPPTCL,13,State Sector
125,Dec-2020,400,Ramgarh - Bhadla line (Ckt-I),D/C,RVPNL,160,State Sector
126,Dec-2020,220,Badod - Nalkheda (Susner ) (GEC),DCDS,MPPTCL,105,State Sector
127,Dec-2020,220,Bhatia - Bhogat line (AL-59),D/C,GETCO,26,State Sector
128,Dec-2020,220,Brahmapuram - Thuthiyoor line,M/C,KSEB,8,State Sector
129,Dec-2020,220,Devanahalli Hardware park - Devanahali HW park S/S,M/C,KPTCL,12,State Sector
130,Dec-2020,220,LILO of Muzaffarnagar - Nanauta line at Badhaikalan,D/C,UPPTCL,10,State Sector
131,Dec-2020,220,LILO of one Ckt. of Ukai - Achhaliya line no.3 at Virpor (Package -2),D/C,GETCO,27,State Sector
132,Dec-2020,220,LILO of Second Ckts. from BAIL (Begur - Hoskote at Devanahlli H/W Park,S/C,KPTCL,18,State Sector
133,Dec-2020,220,Shirsuphal - Shirsai line,S/C,MSETCL,3,State Sector
134,Dec-2020,220,Thuthiyoor - Kaloor (UG Cable),D/C,KSEB,14,State Sector
135,Dec-2020,400,Imphal - New Kohima (Twin Moose ACSR) (K-MTL - TBCB),D/C,KPTL,272,Private Sector
136,Jan-2021,400,Tehri Gen. - Tehri Pooling Station,S/C,PGCIL,13,Central Sector
137,Jan-2021,400,Ramgarh - Bhadla line (Ckt-II),D/C,RVPNL,160,State Sector
