id,month,voltage_level,transmission_line,circuit_type,executing_agency,line_length,sector
305,Sep-2021,400,Jeerat (New) - Jeerat (WBSETCL) (PM-JTL-TBCB),D/C,PGCIL,51,Central Sector
306,Sep-2021,400,Khetri - Sikar (PG) line,D/C,PGCIL,156,Central Sector
307,Sep-2021,400,LILO of both Ckt. of Kishanganj - Patna 400kV (Q) line at Saharsa (Ckt-I),D/C,PGCIL,75,Central Sector
308,Sep-2021,230,LILO the existing 230 kV Alundur - Thanjavur at the proposed Thuvankudy,M/C,TANTRANSCO,30,State Sector
309,Sep-2021,220,Chhatarpur - Tikamgarh 220 KV Line,DCDS,MPPTCL,92,State Sector
310,Oct-2021,765,Khetri - Jhatikara line (Ckt-II),D/C,PGCIL,146,Central Sector
311,Oct-2021,765,LILO of both Ckt. 765kV D/C (op. at 400kV) Fatehgarh (TBCB) - Bhadla (PG) at Fateharh-II PS (Loop in of Ckt-I),D/C,PGCIL,40,Central Sector
312,Oct-2021,765,LILO of both Ckts. of Ajmer - Bikaner line at Bhadla-II PS (PGCIL-RTM),D/C,PGCIL,527,Central Sector
313,Oct-2021,400,LILO of both Ckt. of Kishanganj - Patna (Q) line at Saharsa (CKt-II),D/C,PGCIL,75,Central Sector
314,Oct-2021,400,Pugalur HVDC - Thiruvalam line (Q),D/C,PGCIL,782,Central Sector
315,Oct-2021,220,Chatra - Latehar,D/C,JUSNL,218,State Sector
316,Oct-2021,220,Halvad - Sadla line with AL-59 conductor,D/C,GETCO,76,State Sector
317,Oct-2021,220,Julwaniya - Kukshi line,DCDS,MPPTCL,133,State Sector
318,Oct-2021,220,Kattakkada-Vizhinjam,D/C,KSEB,39,State Sector
319,Oct-2021,220,LILO of 220 kV D/C Wagoora-Mirbazar line at Lassipora,D/C,JKPDD,10,State Sector
320,Oct-2021,220,LILO of both Ckts. Kansari -Deodar line at Bhildi S/S M/C Tower,M/C,GETCO,10,State Sector
321,Oct-2021,220,Raebareli-Amethi Line,D/C,UPPTCL,89,State Sector
322,Nov-2021,765,LILO of both Ckts. of (op.at 400 kV) Fatehgarh (TBCB)- Bhadla (PG) at Fatehgarh-II PS (Loop in of Ckt-II),D/C,PGCIL,39,Central Sector
323,Nov-2021,765,Anpara D - Unnao,S/C,UPPTCL,426,State Sector
324,Nov-2021,400,Julurupadu - Kamalapuram line,D/C,TSTRANSCO,79,State Sector
325,Nov-2021,400,LILO of Mundra - Hadala line at Halvad,D/C,GETCO,89,State Sector
326,Nov-2021,220,LILO Firozabad (400) (TBCB) - Agra PG (765) line at Tundla,D/C,UPPTCL,1,State Sector
327,Nov-2021,220,LILO of Shahjahanpur - Nighasan line at Gola (220),D/C,UPPTCL,7,State Sector
328,Nov-2021,220,Sitamarhi(New) - Motipur,D/C,BSPTCL,140,State Sector
329,Nov-2021,220,TTPS - Govindpur TL,D/C,JUSNL,181,State Sector
330,Dec-2021,400,Bhadla-II PS-Bhadla (PG) (Twin HTLS) (Ckt.-II) (PGCIL-RTM),D/C,PGCIL,49,Central Sector
331,Dec-2021,400,Kahalgaon - Durgapur line (Bypassing of Farakka-Kahalgaon (Ckt.-3 and 4 and Farakka -Durgapur,D/C,PGCIL,6,Central Sector
332,Dec-2021,220,Bajoli Holi - Lahal,D/C,HPPTCL,36,State Sector
333,Dec-2021,220,LILO of 220kV Gachibowli - Miyapur line at Rayadurg GIS (UG Cable),D/C,TSTRANSCO,7,State Sector
334,Dec-2021,220,LILO of 220kV Gachibowli - Shapurnagar line at Rayadurg GIS (UG Cable),D/C,TSTRANSCO,9,State Sector
335,Dec-2021,220,LILO of existing Hiriyur -Gowribidanur line to the proposed 220kV at Sira S/S,D/C,KPTCL,25,State Sector
336,Dec-2021,765,Ghatampur TPS-Hapur (WUPPTCL) line,S/C,APL,411,Private Sector
337,Dec-2021,765,Khandwa Pool - Dhule Line (KTL - TBCB),D/C,SGL,383,Private Sector
338,Jan-2022,400,Kethireddypally-Rayadurg (GIS),D/C,TSTRANSCO,83,State Sector
339,Jan-2022,400,LILO of both Ckts. of Lonikand-II -Girvali line at Karjat S/S,M/C,MSETCL,25,State Sector
340,Jan-2022,400,Patratu (JUSNL)- Bero (New Ranchi),D/C,JUSNL,98,State Sector
341,Jan-2022,400,Soja - Zerda line (Pkg-1) with Twin AL-59 conductor,D/C,GETCO,134,State Sector
342,Jan-2022,220,LILO of 220kV Fatehabad (PGCIL) - Chormar line with (MC at 220kV Hukmawali S/S (Loop in Portion),D/C,HVPNL,41,State Sector
343,Jan-2022,220,LILO of 220kV Nanauta -Shamli line at Shamli (400) (GIS),D/C,UPPTCL,12,State Sector
344,Jan-2022,220,LILO of existing 220kV S/C Lingpur-Kushatagi and 220kV Lingapur-Sindhanur lines to the proposed 220/110/11kV Gangavathi (Sulekal) s/s,M/C,KPTCL,52,State Sector
345,Jan-2022,220,LILO of Sasaram - Sahupuri at Karmnasa (New),D/C,BSPTCL,1,State Sector
346,Jan-2022,220,Patratu - Ratu (Burmu ) line,D/C,JUSNL,63,State Sector
347,Jan-2022,220,Satgachia - Rishra,D/C,WBSETCL,15,State Sector
348,Jan-2022,220,Sitamarhi (New) - Raxaul (New) (Twin Moose),D/C,BSPTCL,177,State Sector
